1,1,143,1,1,143
287,1,1,287,1,1
301,1,1,301,1,1
323,1,1,323,1,1
373,1,1,373,1,1
430,1,1,430,1,1
502,5,1,502,5,1
574,8,6,574,8,6
717,8,24,717,8,24
832,10,48,832,10,48
946,10,83,946,10,83
1054,10,131,1054,10,131
1126,10,179,1126,10,179
1190,30,208,1190,30,208
1247,40,250,1247,40,250
1255,45,250,1255,45,250
1219,50,220,1219,50,220
1176,60,196,1176,60,196
1104,90,155,1104,90,155
1040,96,137,1040,96,137
968,95,125,968,95,125
925,70,125,925,70,125
889,56,137,889,56,137
875,39,149,875,39,149
875,34,167,875,34,167
903,50,185,903,50,185
896,61,173,896,61,173
910,76,173,910,76,173
918,80,167,918,80,167
939,64,173,939,64,173
968,43,185,968,43,185
989,32,196,989,32,196
1004,62,214,1506,93,321
1011,78,226,1516,117,339
1011,80,238,1516,120,357
1004,94,238,1506,141,357
989,90,232,1484,135,348
939,96,202,1409,144,304
903,96,190,1355,144,286
867,90,167,867,90,167
803,74,137,803,74,137
746,42,107,746,42,107
681,32,77,681,32,77
609,22,54,609,22,54
531,20,36,531,20,36
487,16,24,487,16,24
373,8,12,373,8,12
1,1,1,1,1,1
